id,amount,currency,entity,date,source
AAPL-20240102-0000,15155.76,USD,Apple,2024-01-02,yahoo_finance
AAPL-20240103-0001,10652.21,USD,Apple,2024-01-03,yahoo_finance
AAPL-20240104-0002,12959.9,USD,Apple,2024-01-04,yahoo_finance
AAPL-20240105-0003,11185.75,USD,Apple,2024-01-05,yahoo_finance
AAPL-20240108-0004,10862.01,USD,Apple,2024-01-08,yahoo_finance
AAPL-20240109-0005,7850.18,USD,Apple,2024-01-09,yahoo_finance
AAPL-20240110-0006,8622.79,USD,Apple,2024-01-10,yahoo_finance
AAPL-20240111-0007,9023.99,USD,Apple,2024-01-11,yahoo_finance
AAPL-20240112-0008,7448.26,USD,Apple,2024-01-12,yahoo_finance
AAPL-20240116-0009,11922.82,USD,Apple,2024-01-16,yahoo_finance
AAPL-20240117-0010,8555.07,USD,Apple,2024-01-17,yahoo_finance
AAPL-20240118-0011,14562.95,USD,Apple,2024-01-18,yahoo_finance
AAPL-20240119-0012,13063.35,USD,Apple,2024-01-19,yahoo_finance
AAPL-20240122-0013,11539.48,USD,Apple,2024-01-22,yahoo_finance
AAPL-20240123-0014,8181.97,USD,Apple,2024-01-23,yahoo_finance
AAPL-20240124-0015,10324.04,USD,Apple,2024-01-24,yahoo_finance
AAPL-20240125-0016,10535.36,USD,Apple,2024-01-25,yahoo_finance
AAPL-20240126-0017,8492.55,USD,Apple,2024-01-26,yahoo_finance
AAPL-20240129-0018,8946.29,USD,Apple,2024-01-29,yahoo_finance
AAPL-20240130-0019,10395.8,USD,Apple,2024-01-30,yahoo_finance
MSFT-20240102-0000,9209.02,USD,Microsoft,2024-01-02,yahoo_finance
MSFT-20240103-0001,8409.87,USD,Microsoft,2024-01-03,yahoo_finance
MSFT-20240104-0002,7560.26,USD,Microsoft,2024-01-04,yahoo_finance
MSFT-20240105-0003,7593.63,USD,Microsoft,2024-01-05,yahoo_finance
MSFT-20240108-0004,8521.29,USD,Microsoft,2024-01-08,yahoo_finance
MSFT-20240109-0005,7695.15,USD,Microsoft,2024-01-09,yahoo_finance
MSFT-20240110-0006,9600.68,USD,Microsoft,2024-01-10,yahoo_finance
MSFT-20240111-0007,10530.84,USD,Microsoft,2024-01-11,yahoo_finance
MSFT-20240112-0008,8272.23,USD,Microsoft,2024-01-12,yahoo_finance
MSFT-20240116-0009,10436.46,USD,Microsoft,2024-01-16,yahoo_finance
MSFT-20240117-0010,8512.87,USD,Microsoft,2024-01-17,yahoo_finance
MSFT-20240118-0011,9057.42,USD,Microsoft,2024-01-18,yahoo_finance
MSFT-20240119-0012,11495.41,USD,Microsoft,2024-01-19,yahoo_finance
MSFT-20240122-0013,10531.06,USD,Microsoft,2024-01-22,yahoo_finance
MSFT-20240123-0014,8049.13,USD,Microsoft,2024-01-23,yahoo_finance
MSFT-20240124-0015,9840.94,USD,Microsoft,2024-01-24,yahoo_finance
MSFT-20240125-0016,8366.72,USD,Microsoft,2024-01-25,yahoo_finance
MSFT-20240126-0017,7069.51,USD,Microsoft,2024-01-26,yahoo_finance
MSFT-20240129-0018,9872.26,USD,Microsoft,2024-01-29,yahoo_finance
MSFT-20240130-0019,13446.97,USD,Microsoft,2024-01-30,yahoo_finance
GOOGL-20240102-0000,3249.32,USD,Alphabet,2024-01-02,yahoo_finance
GOOGL-20240103-0001,3335.97,USD,Alphabet,2024-01-03,yahoo_finance
GOOGL-20240104-0002,3670.97,USD,Alphabet,2024-01-04,yahoo_finance
GOOGL-20240105-0003,3030.76,USD,Alphabet,2024-01-05,yahoo_finance
GOOGL-20240108-0004,2947.37,USD,Alphabet,2024-01-08,yahoo_finance
GOOGL-20240109-0005,3461.26,USD,Alphabet,2024-01-09,yahoo_finance
GOOGL-20240110-0006,3008.57,USD,Alphabet,2024-01-10,yahoo_finance
