id,amount,currency,entity,date,source
AAPL-20240701,12991.85,USD,Apple,2024-07-01,yahoo_finance
AAPL-20240702,12687.71,USD,Apple,2024-07-02,yahoo_finance
AAPL-20240703,8215.74,USD,Apple,2024-07-03,yahoo_finance
AAPL-20240705,13568.8,USD,Apple,2024-07-05,yahoo_finance
AAPL-20240708,13357.64,USD,Apple,2024-07-08,yahoo_finance
AAPL-20240709,10909.67,USD,Apple,2024-07-09,yahoo_finance
AAPL-20240710,14479.02,USD,Apple,2024-07-10,yahoo_finance
AAPL-20240711,14613.17,USD,Apple,2024-07-11,yahoo_finance
AAPL-20240712,12135.48,USD,Apple,2024-07-12,yahoo_finance
AAPL-20240715,14568.11,USD,Apple,2024-07-15,yahoo_finance
AAPL-20240716,10074.36,USD,Apple,2024-07-16,yahoo_finance
AAPL-20240717,13024.6,USD,Apple,2024-07-17,yahoo_finance
AAPL-20240718,14690.02,USD,Apple,2024-07-18,yahoo_finance
AAPL-20240719,10940.56,USD,Apple,2024-07-19,yahoo_finance
AAPL-20240722,10712.43,USD,Apple,2024-07-22,yahoo_finance
AAPL-20240723,8922.46,USD,Apple,2024-07-23,yahoo_finance
AAPL-20240724,13397.26,USD,Apple,2024-07-24,yahoo_finance
AAPL-20240725,11091.29,USD,Apple,2024-07-25,yahoo_finance
AAPL-20240726,8997.83,USD,Apple,2024-07-26,yahoo_finance
AAPL-20240729,7863.87,USD,Apple,2024-07-29,yahoo_finance
AAPL-20240730,9041.73,USD,Apple,2024-07-30,yahoo_finance
AAPL-20240731,11026.78,USD,Apple,2024-07-31,yahoo_finance
AAPL-20240801,13542.98,USD,Apple,2024-08-01,yahoo_finance
AAPL-20240802,23032.18,USD,Apple,2024-08-02,yahoo_finance
AAPL-20240805,24825.94,USD,Apple,2024-08-05,yahoo_finance
AAPL-20240806,14324.95,USD,Apple,2024-08-06,yahoo_finance
AAPL-20240807,13224.73,USD,Apple,2024-08-07,yahoo_finance
AAPL-20240808,9982.73,USD,Apple,2024-08-08,yahoo_finance
AAPL-20240809,9055.64,USD,Apple,2024-08-09,yahoo_finance
AAPL-20240812,8218.27,USD,Apple,2024-08-12,yahoo_finance
AAPL-20240813,9706.48,USD,Apple,2024-08-13,yahoo_finance
AAPL-20240814,9242.79,USD,Apple,2024-08-14,yahoo_finance
AAPL-20240815,10362.09,USD,Apple,2024-08-15,yahoo_finance
AAPL-20240816,9957.69,USD,Apple,2024-08-16,yahoo_finance
AAPL-20240819,9130.99,USD,Apple,2024-08-19,yahoo_finance
AAPL-20240820,6818.24,USD,Apple,2024-08-20,yahoo_finance
AAPL-20240821,7819.54,USD,Apple,2024-08-21,yahoo_finance
AAPL-20240822,9746.88,USD,Apple,2024-08-22,yahoo_finance
AAPL-20240823,8716.3,USD,Apple,2024-08-23,yahoo_finance
AAPL-20240826,6906.84,USD,Apple,2024-08-26,yahoo_finance
AAPL-20240827,8140.69,USD,Apple,2024-08-27,yahoo_finance
AAPL-20240828,8562.2,USD,Apple,2024-08-28,yahoo_finance
AAPL-20240829,11849.71,USD,Apple,2024-08-29,yahoo_finance
AAPL-20240830,12055.7,USD,Apple,2024-08-30,yahoo_finance
AAPL-20240903,11107.99,USD,Apple,2024-09-03,yahoo_finance
AAPL-20240904,9618.92,USD,Apple,2024-09-04,yahoo_finance
AAPL-20240905,8089.39,USD,Apple,2024-09-05,yahoo_finance
AAPL-20240906,10622.99,USD,Apple,2024-09-06,yahoo_finance
AAPL-20240909,14743.88,USD,Apple,2024-09-09,yahoo_finance
AAPL-20240910,11281.59,USD,Apple,2024-09-10,yahoo_finance
AAPL-20240911,9862.97,USD,Apple,2024-09-11,yahoo_finance
AAPL-20240912,8289.53,USD,Apple,2024-09-12,yahoo_finance
AAPL-20240913,8127.18,USD,Apple,2024-09-13,yahoo_finance
AAPL-20240916,12756.4,USD,Apple,2024-09-16,yahoo_finance
AAPL-20240917,9803.73,USD,Apple,2024-09-17,yahoo_finance
AAPL-20240918,13131.94,USD,Apple,2024-09-18,yahoo_finance
AAPL-20240919,15184.49,USD,Apple,2024-09-19,yahoo_finance
AAPL-20240920,72248.16,USD,Apple,2024-09-20,yahoo_finance
AAPL-20240923,12182.42,USD,Apple,2024-09-23,yahoo_finance
AAPL-20240924,9838.72,USD,Apple,2024-09-24,yahoo_finance
AAPL-20240925,9514.92,USD,Apple,2024-09-25,yahoo_finance
AAPL-20240926,8281.18,USD,Apple,2024-09-26,yahoo_finance
AAPL-20240927,7700.2,USD,Apple,2024-09-27,yahoo_finance
MSFT-20240701,7959.51,USD,Microsoft,2024-07-01,yahoo_finance
MSFT-20240702,6334.99,USD,Microsoft,2024-07-02,yahoo_finance
MSFT-20240703,4515.68,USD,Microsoft,2024-07-03,yahoo_finance
MSFT-20240705,7381.3,USD,Microsoft,2024-07-05,yahoo_finance
MSFT-20240708,5962.92,USD,Microsoft,2024-07-08,yahoo_finance
MSFT-20240709,7801.91,USD,Microsoft,2024-07-09,yahoo_finance
MSFT-20240710,8370.75,USD,Microsoft,2024-07-10,yahoo_finance
MSFT-20240711,10368.48,USD,Microsoft,2024-07-11,yahoo_finance
MSFT-20240712,7305.12,USD,Microsoft,2024-07-12,yahoo_finance
MSFT-20240715,6462.99,USD,Microsoft,2024-07-15,yahoo_finance
MSFT-20240716,7617.82,USD,Microsoft,2024-07-16,yahoo_finance
MSFT-20240717,9530.12,USD,Microsoft,2024-07-17,yahoo_finance
MSFT-20240718,9035.24,USD,Microsoft,2024-07-18,yahoo_finance
MSFT-20240719,9031.15,USD,Microsoft,2024-07-19,yahoo_finance
MSFT-20240722,6908.94,USD,Microsoft,2024-07-22,yahoo_finance
MSFT-20240723,5752.91,USD,Microsoft,2024-07-23,yahoo_finance
MSFT-20240724,11343.63,USD,Microsoft,2024-07-24,yahoo_finance
MSFT-20240725,12361.35,USD,Microsoft,2024-07-25,yahoo_finance
MSFT-20240726,9895.69,USD,Microsoft,2024-07-26,yahoo_finance
MSFT-20240729,6368.53,USD,Microsoft,2024-07-29,yahoo_finance
MSFT-20240730,13639.82,USD,Microsoft,2024-07-30,yahoo_finance
MSFT-20240731,17704.25,USD,Microsoft,2024-07-31,yahoo_finance
MSFT-20240801,12468.35,USD,Microsoft,2024-08-01,yahoo_finance
MSFT-20240802,11864.67,USD,Microsoft,2024-08-02,yahoo_finance
MSFT-20240805,15871.64,USD,Microsoft,2024-08-05,yahoo_finance
MSFT-20240806,9835.88,USD,Microsoft,2024-08-06,yahoo_finance
MSFT-20240807,8118.17,USD,Microsoft,2024-08-07,yahoo_finance
MSFT-20240808,8027.02,USD,Microsoft,2024-08-08,yahoo_finance
MSFT-20240809,7722.32,USD,Microsoft,2024-08-09,yahoo_finance
MSFT-20240812,6728.34,USD,Microsoft,2024-08-12,yahoo_finance
MSFT-20240813,7930.49,USD,Microsoft,2024-08-13,yahoo_finance
MSFT-20240814,7513.2,USD,Microsoft,2024-08-14,yahoo_finance
MSFT-20240815,8636.24,USD,Microsoft,2024-08-15,yahoo_finance
MSFT-20240816,9420.71,USD,Microsoft,2024-08-16,yahoo_finance
MSFT-20240819,6347.34,USD,Microsoft,2024-08-19,yahoo_finance
MSFT-20240820,6880.97,USD,Microsoft,2024-08-20,yahoo_finance
MSFT-20240821,6735.99,USD,Microsoft,2024-08-21,yahoo_finance
MSFT-20240822,7952.81,USD,Microsoft,2024-08-22,yahoo_finance
MSFT-20240823,7618.91,USD,Microsoft,2024-08-23,yahoo_finance
MSFT-20240826,5375.67,USD,Microsoft,2024-08-26,yahoo_finance
MSFT-20240827,5519.34,USD,Microsoft,2024-08-27,yahoo_finance
MSFT-20240828,6040.18,USD,Microsoft,2024-08-28,yahoo_finance
MSFT-20240829,6960.3,USD,Microsoft,2024-08-29,yahoo_finance
MSFT-20240830,10022.73,USD,Microsoft,2024-08-30,yahoo_finance
MSFT-20240903,8221.04,USD,Microsoft,2024-09-03,yahoo_finance
MSFT-20240904,6117.47,USD,Microsoft,2024-09-04,yahoo_finance
MSFT-20240905,5730.27,USD,Microsoft,2024-09-05,yahoo_finance
MSFT-20240906,7786.06,USD,Microsoft,2024-09-06,yahoo_finance
MSFT-20240909,6133.78,USD,Microsoft,2024-09-09,yahoo_finance
MSFT-20240910,8022.12,USD,Microsoft,2024-09-10,yahoo_finance
MSFT-20240911,8056.43,USD,Microsoft,2024-09-11,yahoo_finance
MSFT-20240912,7342.08,USD,Microsoft,2024-09-12,yahoo_finance
MSFT-20240913,6756.41,USD,Microsoft,2024-09-13,yahoo_finance
MSFT-20240916,5898.46,USD,Microsoft,2024-09-16,yahoo_finance
MSFT-20240917,8118.15,USD,Microsoft,2024-09-17,yahoo_finance
MSFT-20240918,8047.32,USD,Microsoft,2024-09-18,yahoo_finance
MSFT-20240919,9412.37,USD,Microsoft,2024-09-19,yahoo_finance
MSFT-20240920,23734.95,USD,Microsoft,2024-09-20,yahoo_finance
MSFT-20240923,6482.7,USD,Microsoft,2024-09-23,yahoo_finance
MSFT-20240924,7218.24,USD,Microsoft,2024-09-24,yahoo_finance
MSFT-20240925,5721.79,USD,Microsoft,2024-09-25,yahoo_finance
